arm,device,client_ip,client_role,attack_start_s,total_routes,servers_routed,servers_effective,dominant_share,switches,first_server,last_server,abandoned,mean_latency_ms,p95_latency_ms
baseline,iot1,10.0.0.1,none,0.0,86,1,1,1.0,0,srv1,srv1,0,1452.0351162790698,4032.17
baseline,iot2,10.0.0.2,none,0.0,145,1,1,1.0,0,srv2,srv2,0,44.730413793103445,49.937999999999995
baseline,iot3,10.0.0.3,none,0.0,132,1,1,1.0,0,srv3,srv3,0,233.23863636363637,485.12649999999996
baseline,iot4,10.0.0.4,none,0.0,143,1,1,1.0,0,srv4,srv4,0,62.53391608391609,74.37
baseline,iot5,10.0.0.5,none,0.0,145,1,1,1.0,0,srv5,srv5,0,46.052689655172415,53.825999999999965
baseline,iot6,10.0.0.6,none,0.0,59,1,1,1.0,0,srv6,srv6,0,3069.3289830508475,4036.482
baseline,iot7,10.0.0.7,none,0.0,144,1,1,1.0,0,srv7,srv7,0,53.56173611111112,67.05999999999999
baseline,iot8,10.0.0.8,none,0.0,141,1,1,1.0,0,srv8,srv8,0,106.21496453900708,371.81
baseline,iot9,10.0.0.9,none,0.0,81,1,1,1.0,0,srv1,srv1,0,1673.4674074074073,4025.98
baseline,iot10,10.0.0.10,none,0.0,142,1,1,1.0,0,srv2,srv2,0,64.90767605633802,73.87399999999998
baseline,iot11,10.0.0.11,none,0.0,131,1,1,1.0,0,srv3,srv3,0,248.10778625954197,446.15999999999997
baseline,iot12,10.0.0.12,none,0.0,150,1,1,1.0,0,srv4,srv4,1,34.43034246575343,50.2275
baseline,iot13,10.0.0.13,none,0.0,143,1,1,1.0,0,srv5,srv5,1,63.963943661971825,82.15749999999997
baseline,iot14,10.0.0.14,none,0.0,60,1,1,1.0,0,srv6,srv6,0,3020.4051666666664,4018.6425
baseline,iot15,10.0.0.15,none,0.0,142,1,1,1.0,0,srv7,srv7,0,65.29845070422535,71.46549999999998
baseline,iot16,10.0.0.16,none,0.0,140,1,1,1.0,0,srv8,srv8,0,116.10171428571428,342.6114999999998
baseline,iot17,10.0.0.17,none,0.0,80,1,1,1.0,0,srv1,srv1,0,1723.8927500000002,4031.8375
baseline,iot18,10.0.0.18,none,0.0,148,1,1,1.0,0,srv2,srv2,0,33.63465753424657,47.47
baseline,iot19,10.0.0.19,none,0.0,131,1,1,1.0,0,srv3,srv3,0,248.2306106870229,562.365
baseline,iot20,10.0.0.20,none,0.0,142,1,1,1.0,0,srv4,srv4,0,64.85098591549296,69.6455
