arm,node,server_role,attack_start_s,t_s,requests,requests_per_s,distinct_clients,client_share,client_jain
baseline,srv1,grayhole,40.0,0.0,15,1.5,5,0.1282051282051282,1.0
baseline,srv1,grayhole,40.0,10.0,25,2.5,5,0.125,1.0
baseline,srv1,grayhole,40.0,20.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv1,grayhole,40.0,30.0,24,2.4,5,0.125,0.993103448275862
baseline,srv1,grayhole,40.0,40.0,18,1.8,5,0.125,0.9529411764705882
baseline,srv1,grayhole,40.0,50.0,14,1.4,5,0.125,0.9333333333333333
baseline,srv1,grayhole,40.0,60.0,9,0.9,5,0.125,0.9529411764705882
baseline,srv1,grayhole,40.0,70.0,16,1.6,5,0.125,0.9481481481481482
baseline,srv1,grayhole,40.0,80.0,10,1.0,5,0.125,0.8333333333333334
baseline,srv1,grayhole,40.0,90.0,13,1.3,5,0.125,0.9657142857142857
baseline,srv1,grayhole,40.0,100.0,9,0.9,5,0.125,0.8526315789473684
baseline,srv1,grayhole,40.0,110.0,11,1.1,5,0.125,0.8962962962962963
baseline,srv1,grayhole,40.0,120.0,13,1.3,5,0.125,0.9657142857142857
baseline,srv1,grayhole,40.0,130.0,15,1.5,5,0.125,0.9183673469387755
baseline,srv1,grayhole,40.0,140.0,11,1.1,5,0.125,0.968
baseline,srv1,grayhole,40.0,150.0,13,1.3,5,0.125,0.9135135135135135
baseline,srv1,grayhole,40.0,160.0,13,1.3,5,0.125,0.8666666666666667
baseline,srv1,grayhole,40.0,170.0,10,1.0,5,0.125,0.9090909090909091
baseline,srv1,grayhole,40.0,180.0,11,1.1,5,0.125,0.8344827586206897
baseline,srv1,grayhole,40.0,190.0,13,1.3,5,0.125,0.9657142857142857
baseline,srv1,grayhole,40.0,200.0,9,0.9,5,0.125,0.8526315789473684
baseline,srv1,grayhole,40.0,210.0,14,1.4,5,0.125,0.8521739130434782
baseline,srv1,grayhole,40.0,220.0,12,1.2,5,0.125,0.8470588235294118
baseline,srv1,grayhole,40.0,230.0,15,1.5,5,0.125,1.0
baseline,srv1,grayhole,40.0,240.0,10,1.0,5,0.125,0.9090909090909091
baseline,srv1,grayhole,40.0,250.0,15,1.5,5,0.125,0.8823529411764706
baseline,srv1,grayhole,40.0,260.0,14,1.4,5,0.125,0.8166666666666667
baseline,srv1,grayhole,40.0,270.0,16,1.6,5,0.125,0.9846153846153847
baseline,srv1,grayhole,40.0,280.0,10,1.0,5,0.125,0.9090909090909091
baseline,srv1,grayhole,40.0,290.0,13,1.3,5,0.125,0.9135135135135135
baseline,srv1,grayhole,40.0,300.0,6,0.6,5,0.125,0.9
baseline,srv2,none,0.0,0.0,15,1.5,5,0.1282051282051282,1.0
baseline,srv2,none,0.0,10.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,20.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,30.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,40.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,50.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,60.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,70.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,80.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,90.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv2,none,0.0,100.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,110.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,120.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,130.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,140.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,150.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,160.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,170.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,180.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,190.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,200.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,210.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,220.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,230.0,26,2.6,5,0.125,0.9941176470588236
baseline,srv2,none,0.0,240.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv2,none,0.0,250.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,260.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,270.0,24,2.4,5,0.125,0.976271186440678
baseline,srv2,none,0.0,280.0,25,2.5,5,0.125,1.0
baseline,srv2,none,0.0,290.0,24,2.4,5,0.125,0.993103448275862
baseline,srv2,none,0.0,300.0,13,1.3,5,0.125,0.9657142857142857
baseline,srv3,sybil,20.0,0.0,15,1.5,5,0.1282051282051282,1.0
baseline,srv3,sybil,20.0,10.0,25,2.5,5,0.125,1.0
baseline,srv3,sybil,20.0,20.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv3,sybil,20.0,30.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,40.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,50.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv3,sybil,20.0,60.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,70.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv3,sybil,20.0,80.0,20,2.0,5,0.125,1.0
baseline,srv3,sybil,20.0,90.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,100.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv3,sybil,20.0,110.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,120.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,130.0,20,2.0,5,0.125,1.0
baseline,srv3,sybil,20.0,140.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,150.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,160.0,20,2.0,5,0.125,1.0
baseline,srv3,sybil,20.0,170.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv3,sybil,20.0,180.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,190.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,200.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,210.0,20,2.0,5,0.125,1.0
baseline,srv3,sybil,20.0,220.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv3,sybil,20.0,230.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,240.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,250.0,21,2.1,5,0.125,0.9910112359550561
baseline,srv3,sybil,20.0,260.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,270.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,280.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,290.0,22,2.2,5,0.125,0.9877551020408163
baseline,srv3,sybil,20.0,300.0,13,1.3,5,0.125,0.9657142857142857
baseline,srv4,none,0.0,0.0,15,1.5,5,0.1282051282051282,1.0
baseline,srv4,none,0.0,10.0,25,2.5,5,0.125,1.0
baseline,srv4,none,0.0,20.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv4,none,0.0,30.0,24,2.4,5,0.125,0.993103448275862
baseline,srv4,none,0.0,40.0,23,2.3,5,0.125,0.9887850467289719
baseline,srv4,none,0.0,50.0,24,2.4,5,0.125,0.993103448275862
baseline,srv4,none,0.0,60.0,24,2.4,5,0.125,0.993103448275862
