arm,metric,scope,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
baseline,latency_ms,honest,4463,389.0437239524983,60.09,4021.888,4031.0552,4116.82
baseline,latency_ms,attacker,2301,146.9073142112125,62.4,115.8,4017.99,4054.46
baseline,latency_ms,all,5837,344.7761658386157,61.07,4017.3579999999997,4030.6056,4116.82
baseline,latency_ms,srv1,417,1567.793309352518,67.68,4030.5879999999997,4041.0328,4089.54
baseline,latency_ms,srv2,720,49.73763888888889,43.42,69.7925,118.8382999999991,162.6
baseline,latency_ms,srv3,662,233.7430513595166,201.855,488.9114999999995,660.3767999999999,801.06
baseline,latency_ms,srv4,722,48.08512465373961,43.379999999999995,68.25399999999999,106.33019999999995,148.25
baseline,latency_ms,srv5,574,55.27515679442509,58.055,75.75800000000002,113.5132,430.57
baseline,latency_ms,srv6,237,3058.397510548523,4016.4,4035.63,4053.118,4116.82
baseline,latency_ms,srv7,572,59.5243006993007,61.955,69.1965,101.90539999999912,161.95
baseline,latency_ms,srv8,559,119.23044722719142,49.8,365.03800000000007,564.4455999999994,823.97
baseline,decision_ms,honest,4463,0.5782433340802151,0.53,0.81,1.2276000000000022,9.26
baseline,decision_ms,attacker,2301,0.5759191655801825,0.53,0.81,1.14,5.56
baseline,decision_ms,all,5837,0.577598081206099,0.53,0.81,1.2328000000000066,9.26
baseline,decision_ms,srv1,417,0.6018465227817745,0.53,0.88,1.9163999999999948,3.68
baseline,decision_ms,srv2,720,0.5643888888888889,0.53,0.8004999999999995,0.9842999999999984,3.92
baseline,decision_ms,srv3,662,0.5854380664652568,0.54,0.84,1.2655999999999994,4.03
baseline,decision_ms,srv4,722,0.5649030470914128,0.52,0.79,0.9636999999999989,7.97
baseline,decision_ms,srv5,574,0.5728919860627177,0.53,0.7735000000000003,0.9426999999999998,6.22
baseline,decision_ms,srv6,237,0.5954008438818565,0.53,0.83,1.3071999999999935,4.93
baseline,decision_ms,srv7,572,0.566555944055944,0.53,0.8,1.3147999999999955,3.82
baseline,decision_ms,srv8,559,0.5973703041144902,0.54,0.81,1.07,9.26
baseline,residence_ms,honest,4463,416.17344207302114,90.79432487487793,4047.1024036407466,4065.657124519348,4157.265901565552
baseline,residence_ms,attacker,2301,179.13441054979546,94.54345703125,156.27598762512207,4040.5325889587402,4096.234560012817
baseline,residence_ms,all,5837,372.9722794756122,91.97473526000977,4039.1409397125244,4065.2597427368164,4157.265901565552
baseline,residence_ms,srv1,417,1599.2093875253802,102.87952423095703,4065.192174911499,4088.4984970092773,4131.525039672852
baseline,residence_ms,srv2,720,75.32498141129811,66.08259677886963,105.92697858810425,141.65735960006708,176.68437957763672
baseline,residence_ms,srv3,662,261.6462901999943,233.19458961486816,504.50433492660517,687.9456567764282,835.6366157531738
baseline,residence_ms,srv4,722,73.48228953881937,66.30980968475342,104.77833747863768,150.82593441009504,190.12951850891113
baseline,residence_ms,srv5,574,81.62776144539437,88.6983871459961,110.0269675254822,151.24886989593503,323.5516548156738
baseline,residence_ms,srv6,237,3085.5451958088934,4036.411762237549,4069.582414627075,4110.274839401245,4157.265901565552
baseline,residence_ms,srv7,572,91.34502635969149,94.63930130004883,124.77818727493278,163.58701467514035,188.56072425842285
baseline,residence_ms,srv8,559,142.46120222565952,75.28281211853027,386.80539131164556,593.8671922683716,895.6425189971924
zero_trust,latency_ms,honest,4837,105.73924746743849,94.08,147.84999999999985,239.56840000000034,4099.33
zero_trust,latency_ms,attacker,1352,114.53949704142012,106.975,168.97100000000003,224.30370000000005,4112.58
zero_trust,latency_ms,all,5522,105.65309670409272,95.02,149.8795,236.72699999999998,4099.33
zero_trust,latency_ms,srv1,117,438.2268376068376,101.97,4040.8720000000003,4049.3795999999998,4099.33
zero_trust,latency_ms,srv2,1032,93.156753875969,90.33,129.02799999999996,209.87699999999992,243.39
zero_trust,latency_ms,srv3,46,141.89434782608697,129.435,271.52000000000004,394.75449999999944,480.52
