arm,t_s,device,client_ip,client_role,node,blamed_on,server_role,status,latency_ms,resteered_from,exact
baseline,4.327,iot5,10.0.0.5,none,srv5,srv5,none,success,430.57,,True
baseline,4.6,iot14,10.0.0.14,none,srv6,srv6,drop,success,72.61,,True
baseline,4.63,iot8,10.0.0.8,none,srv8,srv8,onoff,success,50.53,,True
baseline,4.631,iot7,10.0.0.7,none,srv7,srv7,none,success,90.35,,True
baseline,4.646,iot9,10.0.0.9,none,srv1,srv1,grayhole,success,108.73,,True
baseline,4.651,iot12,10.0.0.12,none,srv4,srv4,none,success,75.53,,True
baseline,4.652,iot18,10.0.0.18,none,srv2,srv2,none,success,70.52,,True
baseline,4.654,iot13,10.0.0.13,none,srv5,srv5,none,success,130.41,,True
baseline,4.658,iot4,10.0.0.4,none,srv4,srv4,none,success,115.05,,True
baseline,4.663,iot24,10.0.0.24,none,srv8,srv8,onoff,success,103.41,,True
baseline,4.665,iot2,10.0.0.2,none,srv2,srv2,none,success,59.84,,True
baseline,4.667,iot35,10.0.0.35,none,srv3,srv3,sybil,success,72.77,,True
baseline,4.67,iot28,10.0.0.28,none,srv4,srv4,none,success,83.71,,True
baseline,4.671,iot1,10.0.0.1,none,srv1,srv1,grayhole,success,114.96,,True
baseline,4.68,iot26,10.0.0.26,none,srv2,srv2,none,success,97.55,,True
baseline,4.693,iot15,10.0.0.15,none,srv7,srv7,none,success,161.95,,True
baseline,4.705,iot23,10.0.0.23,none,srv7,srv7,none,success,122.29,,True
baseline,4.715,iot30,10.0.0.30,none,srv6,srv6,drop,success,99.63,,True
baseline,4.716,iot16,10.0.0.16,none,srv8,srv8,onoff,success,105.8,,True
baseline,4.719,iot27,10.0.0.27,none,srv3,srv3,sybil,success,113.42,,True
baseline,4.732,iot33,10.0.0.33,none,srv1,srv1,grayhole,success,109.65,,True
baseline,4.733,iot3,10.0.0.3,none,srv3,srv3,sybil,success,97.22,,True
baseline,4.749,iot11,10.0.0.11,none,srv3,srv3,sybil,success,156.75,,True
baseline,4.75,iot36,10.0.0.36,none,srv4,srv4,none,success,105.24,,True
baseline,4.756,iot29,10.0.0.29,none,srv5,srv5,none,success,98.17,,True
baseline,4.768,iot32,10.0.0.32,none,srv8,srv8,onoff,success,106.16,,True
baseline,4.785,iot17,10.0.0.17,none,srv1,srv1,grayhole,success,165.37,,True
baseline,4.794,iot20,10.0.0.20,none,srv4,srv4,none,success,146.27,,True
baseline,4.795,iot10,10.0.0.10,none,srv2,srv2,none,success,145.09,,True
baseline,4.797,iot6,10.0.0.6,none,srv6,srv6,drop,success,100.54,,True
baseline,4.798,iot19,10.0.0.19,none,srv3,srv3,sybil,success,120.23,,True
baseline,4.806,iot25,10.0.0.25,none,srv1,srv1,grayhole,success,124.81,,True
baseline,4.819,iot31,10.0.0.31,none,srv7,srv7,none,success,137.81,,True
baseline,4.819,iot21,10.0.0.21,none,srv5,srv5,none,success,145.93,,True
baseline,4.82,iot37,10.0.0.37,flood,srv5,srv5,none,success,134.32,,True
baseline,4.822,iot34,10.0.0.34,none,srv2,srv2,none,success,135.04,,True
baseline,4.824,iot40,10.0.0.40,bad_credentials,srv8,srv8,onoff,success,131.66,,True
baseline,4.843,iot22,10.0.0.22,none,srv6,srv6,drop,success,129.71,,True
baseline,4.853,iot39,10.0.0.39,bad_credentials,srv7,srv7,none,success,123.35,,True
baseline,6.664,iot5,10.0.0.5,none,srv5,srv5,none,success,39.17,,True
baseline,6.709,iot14,10.0.0.14,none,srv6,srv6,drop,success,34.49,,True
baseline,6.766,iot8,10.0.0.8,none,srv8,srv8,onoff,success,30.12,,True
baseline,6.778,iot18,10.0.0.18,none,srv2,srv2,none,success,48.43,,True
baseline,6.783,iot12,10.0.0.12,none,srv4,srv4,none,success,32.89,,True
baseline,6.786,iot2,10.0.0.2,none,srv2,srv2,none,success,43.71,,True
baseline,6.792,iot7,10.0.0.7,none,srv7,srv7,none,success,51.2,,True
